ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
24629,1,1,120,3.605551275,-57,86.30993247,"(3,4]"
24630,1,1,150,3.605551275,-56,116.3099325,"(3,4]"
24631,1,1,180,3.605551275,-59,146.3099325,"(3,4]"
24632,1,1,210,3.605551275,-59,176.3099325,"(3,4]"
24633,1,1,240,3.605551275,-58,-153.6900675,"(3,4]"
24634,1,1,270,3.605551275,-53,-123.6900675,"(3,4]"
24635,1,1,300,3.605551275,-50,-93.69006753,"(3,4]"
24636,1,1,330,3.605551275,-50,-63.69006753,"(3,4]"
24637,1,2,0,3.16227766,-48,-18.43494882,"(3,4]"
24638,1,2,30,3.16227766,-53,11.56505118,"(3,4]"
24639,1,2,60,3.16227766,-58,41.56505118,"(3,4]"
24641,1,2,120,3.16227766,-58,101.5650512,"(3,4]"
24642,1,2,150,3.16227766,-56,131.5650512,"(3,4]"
